155	Roel	Van Sintmaartensdijk	Intermarche – Wanty	2.5M	0	0	0	0	0	0.0		3	9
156	Georg	Zimmerman	Intermarche – Wanty	2.6M	0	0	0	0	0	0.0	9	14	0
157	Guillaume	Boivin	Israel – Premier Tech	2.7M	0	0	0	0	0	0.0		0	0
158	Matis	Louvel	Israel – Premier Tech	2.6M	0	0	0	0	0	0.0		0	0
159	Simone	Consonni	Lidl – Trek	3.4M	0	0	0	0	0	0.0		2	0
160	Toms	Skujins	Lidl – Trek	3.5M	0	0	0	0	0	0.0		1	0
161	Dylan	Theuns	Lidl – Trek	3.6M	0	0	0	0	0	0.0		0	0
162	Jasper	De Buyst	Lotto	2.6M	0	0	0	0	0	0.0	4	0	0
163	Sebastien	Grignard	Lotto	2.5M	0	0	0	0	0	0.0		2	0
164	Eduardo	Sepulveda	Lotto	3M	0	0	0	0	0	0.0		0	0
165	Lennert	Van Eetveld	Lotto	5.5M	0	0	0	0	0	0.0	14	4	5
166	Gianni	Moscon	Red Bull – BORA – hansgrohe	2.5M	0	0	0	0	0	0.0		4	5
167	Laurence	Pithie	Red Bull – BORA – hansgrohe	3.4M	0	0	0	0	0	0.0		2	0
168	Mattia	Cattaneo	Soudal Quick-Step	3.6M	0	0	0	0	0	0.0	7	0	0
169	Maximilian	Schachmann	Soudal Quick-Step	3.8M	0	0	0	0	0	0.0		1	0
170	Bert	Van Lerberghe	Soudal Quick-Step	2.7M	0	0	0	0	0	0.0		1	0
171	Luke	Durbridge	Team Jayco AlUla	2.8M	0	0	0	0	0	0.0		0	0
172	Luka	Mezgec	Team Jayco AlUla	3.2M	0	0	0	0	0	0.0		0	0
173	Elmar	Reinders	Team Jayco AlUla	2.5M	0	0	0	0	0	0.0		4	1
174	Sean	Flynn	Team Picnic PostNL	2.6M	0	0	0	0	0	0.0		0	0
175	Tim	Naberman	Team Picnic PostNL	2.5M	0	0	0	0	0	0.0		6	3
176	Steff	Cras	Team TotalEnergies	3.8M	0	0	0	0	0	0.0	14	1	0
177	Emilien	Jeanniere	Team TotalEnergies	3.5M	0	0	0	0	0	0.0	4	35	0
178	Matteo	Vercher	Team TotalEnergies	2.6M	0	0	0	0	0	0.0		0	0
179	Marco	Haller	Tudor Pro Cycling Team	3.1M	0	0	0	0	0	0.0		0	0
180	Fabian	Lienhard	Tudor Pro Cycling Team	2.5M	0	0	0	0	0	0.0		4	0
181	Pavel	Sivakov	UAE Team Emirates XRG	4.2M	0	0	0	0	0	0.0		0	0
182	Marc	Soler	UAE Team Emirates XRG	3.8M	0	0	0	0	0	0.0		0	0
183	Magnus	Cort	Uno-X Mobility	4M	0	0	0	0	0	0.0		4	0
184	Markus	Hoelgaard	Uno-X Mobility	2.6M	0	0	0	0	0	0.0		1	0
